Workload,Estimation,Average Error,MAE,EA,MAPE,TAU,MAE_OVER,MAE_UNDER,%_OVER,%_UNDER,%_EXACT,MAE_S,MAE_OVER_S,MAE_UNDER_S,%_OVER_S,%_UNDER_S,%_EXACT_S,MAE_M,MAE_OVER_M,MAE_UNDER_M,%_OVER_M,%_UNDER_M,%_EXACT_M,MAE_L,MAE_OVER_L,MAE_UNDER_L,%_OVER_L,%_UNDER_L,%_EXACT_L
Heavy_3,5 - RNP,01:18:00,4680.285555555555,0.5609266571479963,11.077634314631581,0.5457454589807357,7954.173579109063,4440.967168262654,0.3616666666666667,0.4061111111111111,0.23222222222222222,2042.2603664416586,7037.283333333334,20.240853658536587,0.2892960462873674,0.3162970106075217,0.3944069431051109,3850.2462057335583,6708.658536585366,1204.7508417508418,0.4839797639123103,0.5008431703204047,0.01517706576728499,23667.61176470588,17837.453125,27187.70754716981,0.3764705882352941,0.6235294117647059,0.0
Heavy_3,6 - KNN,01:00:06,3606.802777777778,0.27902512310327243,94.02706045556131,0.23384901048096976,2948.798043326345,6347.807262569832,0.795,0.1988888888888889,0.006111111111111111,2762.8167791706846,2813.2897838899803,61.77777777777778,0.9816779170684667,0.017357762777242044,0.0009643201542912247,2080.681281618887,2826.6519480519482,735.2676767676768,0.6492411467116358,0.33389544688026984,0.016863406408094434,14078.588235294117,9555.0,14970.56338028169,0.16470588235294117,0.8352941176470589,0.0
Heavy_3,7 - LLM,00:07:30,450.42,0.686966020698391,0.47589319280952985,0.7552075639968523,501.0863697705803,2265.2113402061855,0.4116666666666667,0.10777777777777778,0.48055555555555557,110.86595949855352,193.0608108108108,13.52,0.570877531340405,0.048216007714561235,0.3809064609450338,450.42,1166.3359375,431.6896551724138,0.21585160202360876,0.19561551433389546,0.5885328836424958,2920.1235294117646,5129.619047619048,13882.107142857143,0.12352941176470589,0.16470588235294117,0.711764705882353
Heavy_4,1 - User,15:31:23,55883.30944444444,0.11150997534736562,2934.5397971640286,-0.4262547368950625,55883.30944444444,0.0,1.0,0.0,0.0,73250.09020368574,73250.09020368574,0.0,1.0,0.0,0.0,34308.955249569706,34308.955249569706,0.0,1.0,0.0,0.0,27317.07978723404,27317.07978723404,0.0,1.0,0.0,0.0
Heavy_4,2 - Actual,00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Heavy_4,3 - Heuristic,01:04:28,3868.036111111111,0.25611012445318365,58.572429771714916,0.3206020647118667,2199.4132841328415,9009.638009049773,0.7527777777777778,0.24555555555555555,0.0016666666666666668,1950.9000969932106,1977.4473942969519,28.545454545454547,0.9864209505334627,0.01066925315227934,0.002909796314258002,1944.1807228915663,2600.636085626911,1099.0590551181103,0.5628227194492255,0.43717728055077454,0.0,20327.22340425532,10793.90909090909,20919.689265536723,0.05851063829787234,0.9414893617021277,0.0
Heavy_4,4 - DT,00:55:15,3315.7255555555557,0.5801313537001658,2.9756547643404367,0.6751478603411201,3155.5942028985505,5068.382978723404,0.4216666666666667,0.39166666666666666,0.18666666666666668,613.19592628516,1391.6607538802662,18.48582995951417,0.43743937924345294,0.23957322987390883,0.3229873908826382,2645.974182444062,4401.155893536122,1205.736507936508,0.45266781411359724,0.5421686746987951,0.0051635111876075735,20206.32978723404,13554.511111111111,22299.559440559442,0.2393617021276596,0.7606382978723404,0.0
Heavy_4,5 - RNP,01:12:56,4376.065555555556,0.5618954854522996,11.86183409021847,0.5583424767701223,7786.05572755418,3976.4329608938547,0.35888888888888887,0.3977777777777778,0.24333333333333335,1420.0572259941805,5108.884210526316,25.70926517571885,0.27643064985451016,0.30358874878758485,0.41998060135790494,4473.101549053356,7896.947552447553,1173.603448275862,0.49225473321858865,0.4991394148020654,0.008605851979345954,20287.058510638297,17536.44,22112.690265486726,0.39893617021276595,0.601063829787234,0.0
Heavy_4,6 - KNN,01:01:40,3700.677222222222,0.2803200248203842,91.2972061820338,0.24188811716533642,3012.101754385965,6454.970027247957,0.7916666666666666,0.2038888888888889,0.0044444444444444444,2756.7934044616877,2805.0671273445214,42.411764705882355,0.9825412221144519,0.016488845780795344,0.0009699321047526673,2158.8502581755592,2905.7441860465115,693.951871657754,0.6660929432013769,0.3218588640275387,0.012048192771084338,13641.877659574468,13047.56,13733.030674846626,0.13297872340425532,0.8670212765957447,0.0
Heavy_4,7 - LLM,00:05:57,357.5988888888889,0.701812347887412,3.194178646783747,0.755299813037981,483.2290502793296,1481.0248756218905,0.3977777777777778,0.11166666666666666,0.4905555555555556,179.64500484966052,321.9614711033275,29.23404255319149,0.553831231813773,0.04558680892337536,0.4005819592628516,357.5988888888889,866.8709677419355,394.4621212121212,0.2134251290877797,0.22719449225473323,0.5593803786574871,1589.909574468085,2602.8571428571427,11101.954545454546,0.11170212765957446,0.11702127659574468,0.7712765957446809
Heavy_5,1 - User,15:37:38,56258.32444444444,0.11425631785330118,2933.599429507767,-0.4125026257221805,56258.32444444444,0.0,1.0,0.0,0.0,74033.09152872444,74033.09152872444,0.0,1.0,0.0,0.0,33889.28347826087,33889.28347826087,0.0,1.0,0.0,0.0,29023.540404040403,29023.540404040403,0.0,1.0,0.0,0.0
Heavy_5,2 - Actual,00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Heavy_5,3 - Heuristic,01:10:51,4251.083888888889,0.25552201202014135,49.56193308913616,0.35583563610410324,2310.5074738415547,9957.406113537118,0.7433333333333333,0.2544444444444444,0.0022222222222222222,2015.9143135345666,2047.4569732937684,30.416666666666668,0.9844206426484907,0.011684518013631937,0.0038948393378773127,1988.5495652173913,2797.7672955974845,987.2607003891051,0.5530434782608695,0.4469565217391304,0.0,22415.10606060606,14643.333333333334,22785.190476190477,0.045454545454545456,0.9545454545454546,0.0
Heavy_5,4 - DT,01:05:51,3951.101111111111,0.5687620987297732,3.9405058469104484,0.6714820100894372,3729.9,6207.531107738999,0.45,0.3661111111111111,0.18388888888888888,990.062317429406,2104.0790020790023,21.219730941704036,0.46835443037974683,0.2171372930866602,0.314508276533593,2717.3547826086956,4595.614814814815,1079.4060402684563,0.46956521739130436,0.5182608695652174,0.01217391304347826,22892.469696969696,13022.728813559323,27278.028985507248,0.29797979797979796,0.696969696969697,0.005050505050505051
Heavy_5,5 - RNP,01:28:14,5294.223888888889,0.561843563776152,10.408773915634736,0.5575948945749086,8995.81913303438,5066.955266955267,0.37166666666666665,0.385,0.24333333333333335,1873.6416747809153,6454.700336700336,23.867109634551493,0.2891918208373905,0.29308666017526774,0.4177215189873418,4849.506086956521,8461.15306122449,1106.202205882353,0.5113043478260869,0.47304347826086957,0.01565217391304348,24327.81313131313,20686.897435897437,26694.408333333333,0.3939393939393939,0.6060606060606061,0.0
Heavy_5,6 - KNN,01:04:36,3876.342222222222,0.28675511216221555,92.19669397094576,0.2654370635216907,3238.446466060182,6472.936639118458,0.7938888888888889,0.20166666666666666,0.0044444444444444444,3072.3554040895815,3132.7189672293944,34.78947368421053,0.9805258033106135,0.018500486854917234,0.0009737098344693282,2266.8017391304347,3043.8647959183672,626.2272727272727,0.6817391304347826,0.3060869565217391,0.01217391304347826,12720.68686868687,9329.9,13326.184523809523,0.15151515151515152,0.8484848484848485,0.0
Heavy_5,7 - LLM,00:08:00,480.79055555555556,0.6883474052122084,1.8549995549174254,0.7684571142364549,725.4384105960265,1815.5257142857142,0.41944444444444445,0.09722222222222222,0.48333333333333334,237.59883154819863,401.91074380165287,25.235294117647058,0.5890944498539435,0.033106134371957155,0.3777994157740993,480.79055555555556,1381.8809523809523,411.2393162393162,0.21913043478260869,0.20347826086956522,0.577391304347826,2016.0454545454545,5434.708333333333,11197.666666666666,0.12121212121212122,0.12121212121212122,0.7575757575757576
